gagename,event_id,eventdatastart_edt,eventdataend_edt,eventduration_hr,eventpeakintensity_inhr,eventavgintensity_inhr,eventdepth_in
7,117,2021-11-26T06:00:00Z,2021-11-26T12:30:00Z,6.75,0.08,0.0281,0.19
7,118,2021-12-07T00:45:00Z,2021-12-07T01:00:00Z,0.5,0.4,0.22,0.11
7,119,2021-12-11T05:15:00Z,2021-12-11T13:30:00Z,8.5,0.12,0.0129,0.11
7,120,2021-12-12T01:45:00Z,2021-12-12T03:00:00Z,1.5,0.24,0.0733,0.11
7,121,2021-12-18T09:15:00Z,2021-12-18T12:00:00Z,3,0.12,0.04,0.12
7,122,2021-12-22T06:30:00Z,2021-12-22T12:00:00Z,5.75,0.08,0.0243,0.14
7,123,2021-12-30T06:15:00Z,2021-12-30T10:00:00Z,4,0.12,0.0525,0.21
7,124,2022-01-01T08:45:00Z,2022-01-02T10:45:00Z,26.25,0.6,0.0305,0.8
7,125,2022-01-07T07:00:00Z,2022-01-07T15:00:00Z,8.25,0.076,0.0168,0.139
7,126,2022-01-09T14:15:00Z,2022-01-10T01:45:00Z,11.75,0.08,0.0145,0.17
7,127,2022-01-17T02:45:00Z,2022-01-17T14:30:00Z,12,0.56,0.095,1.1400000000000001
7,128,2022-01-20T07:45:00Z,2022-01-20T15:00:00Z,7.5,0.08,0.044,0.33
7,129,2022-02-03T09:15:00Z,2022-02-04T22:45:00Z,37.75,1.32,0.0429,1.62
7,130,2022-02-13T15:30:00Z,2022-02-13T21:00:00Z,5.75,0.08,0.0452,0.26
7,131,2022-02-18T02:45:00Z,2022-02-18T11:15:00Z,8.75,0.12,0.0274,0.24
7,132,2022-02-22T18:15:00Z,2022-02-23T00:15:00Z,6.25,0.12,0.024,0.15
7,133,2022-02-25T04:15:00Z,2022-02-25T20:15:00Z,16.25,0.28,0.0566,0.92
7,134,2022-03-09T13:45:00Z,2022-03-09T22:45:00Z,9.25,0.12,0.0411,0.38
7,135,2022-03-12T11:15:00Z,2022-03-12T18:15:00Z,7.25,0.24,0.0745,0.54
7,136,2022-03-17T10:45:00Z,2022-03-17T13:15:00Z,2.75,0.12,0.0509,0.13999999999999999
7,137,2022-03-20T01:15:00Z,2022-03-20T01:30:00Z,0.5,0.52,0.3,0.15
7,138,2022-03-24T01:30:00Z,2022-03-24T12:30:00Z,11.25,0.24,0.0524,0.59
7,139,2022-03-25T01:15:00Z,2022-03-25T04:00:00Z,3,0.2,0.0533,0.16
7,140,2022-04-01T00:15:00Z,2022-04-01T10:15:00Z,10.25,0.52,0.0332,0.34
7,141,2022-04-06T00:00:00Z,2022-04-06T14:15:00Z,14.5,0.28,0.0717,1.04
7,142,2022-04-07T13:45:00Z,2022-04-08T04:30:00Z,15,0.96,0.1147,1.72
7,143,2022-04-09T04:45:00Z,2022-04-09T13:00:00Z,8.5,0.16,0.0235,0.2
7,144,2022-04-14T21:30:00Z,2022-04-14T22:00:00Z,0.75,0.28,0.2,0.15
7,145,2022-04-17T00:00:00Z,2022-04-17T04:30:00Z,4.75,0.24,0.0463,0.22
7,146,2022-04-18T20:15:00Z,2022-04-19T07:30:00Z,11.5,0.36,0.1191,1.37
7,147,2022-05-02T07:45:00Z,2022-05-02T12:15:00Z,4.75,0.16,0.0253,0.12
7,148,2022-05-04T06:45:00Z,2022-05-04T12:45:00Z,6.25,0.16,0.0272,0.17
7,149,2022-05-06T14:00:00Z,2022-05-08T10:30:00Z,44.75,0.24,0.044,1.97
7,150,2022-05-14T17:15:00Z,2022-05-14T21:45:00Z,4.75,0.12,0.0442,0.21
7,151,2022-05-16T23:00:00Z,2022-05-16T23:15:00Z,0.5,0.36,0.2,0.09999999999999999
7,152,2022-05-19T04:30:00Z,2022-05-19T10:45:00Z,6.5,0.4,0.1138,0.74
7,153,2022-05-20T18:00:00Z,2022-05-20T20:15:00Z,2.5,0.24,0.056,0.14
7,154,2022-05-27T19:30:00Z,2022-05-27T21:15:00Z,2,0.4,0.1,0.2
7,155,2022-05-28T03:45:00Z,2022-05-28T04:30:00Z,1,2.32,0.78,0.7799999999999999
7,156,2022-06-02T21:45:00Z,2022-06-03T02:00:00Z,4.5,0.76,0.0844,0.38
7,157,2022-06-08T02:30:00Z,2022-06-08T06:00:00Z,3.75,0.36,0.0347,0.13
7,158,2022-06-09T03:15:00Z,2022-06-09T09:15:00Z,6.25,1.12,0.2112,1.32
7,159,2022-06-12T09:30:00Z,2022-06-12T14:15:00Z,5,1.16,0.336,1.68
7,160,2022-06-14T12:15:00Z,2022-06-14T13:00:00Z,1,0.24,0.1,0.1
7,161,2022-06-16T10:00:00Z,2022-06-16T18:30:00Z,8.75,0.44,0.0377,0.33
7,162,2022-06-23T14:15:00Z,2022-06-23T16:30:00Z,2.5,0.24,0.128,0.32
7,163,2022-06-27T17:00:00Z,2022-06-27T22:15:00Z,5.5,1.12,0.1509,0.8300000000000001
7,164,2022-07-07T07:45:00Z,2022-07-07T11:45:00Z,4.25,0.208,0.0675,0.287
7,165,2022-07-25T20:00:00Z,2022-07-25T20:30:00Z,0.75,2.12,0.9867,0.74
7,166,2022-07-29T00:45:00Z,2022-07-29T01:15:00Z,0.75,1.4,0.6533,0.49
7,167,2022-08-01T01:30:00Z,2022-08-01T12:45:00Z,11.5,0.36,0.0365,0.42
7,168,2022-08-11T07:45:00Z,2022-08-11T09:45:00Z,2.25,1.72,0.32,0.72
7,169,2022-08-21T20:45:00Z,2022-08-21T21:15:00Z,0.75,1,0.5467,0.41
7,170,2022-08-22T05:00:00Z,2022-08-22T12:15:00Z,7.5,0.36,0.052,0.39
7,171,2022-08-22T18:30:00Z,2022-08-23T00:45:00Z,6.5,1.28,0.0985,0.64
7,172,2022-08-30T23:30:00Z,2022-08-31T02:45:00Z,3.5,0.96,0.0914,0.32
7,173,2022-09-06T10:00:00Z,2022-09-06T16:45:00Z,7,0.8,0.2457,1.72
7,174,2022-09-11T14:15:00Z,2022-09-12T03:30:00Z,13.5,0.32,0.0363,0.49
7,175,2022-09-13T00:15:00Z,2022-09-13T05:30:00Z,5.5,0.92,0.0655,0.36
7,176,2022-09-25T19:15:00Z,2022-09-25T20:45:00Z,1.75,0.92,0.16,0.28
7,177,2022-10-01T01:30:00Z,2022-10-01T13:30:00Z,12.25,0.44,0.0824,1.01
7,178,2022-10-02T06:15:00Z,2022-10-05T05:00:00Z,71,0.64,0.0414,2.94
7,179,2022-10-13T19:00:00Z,2022-10-14T07:45:00Z,13,0.36,0.0585,0.76
7,180,2022-10-17T22:00:00Z,2022-10-18T00:00:00Z,2.25,0.92,0.1822,0.41000000000000003
7,181,2022-10-23T20:15:00Z,2022-10-23T21:45:00Z,1.75,0.16,0.0629,0.11
7,182,2022-10-24T07:00:00Z,2022-10-24T11:15:00Z,4.5,0.76,0.0844,0.38
7,183,2022-10-31T22:45:00Z,2022-11-01T07:15:00Z,8.75,0.2,0.0286,0.25
7,184,2022-11-11T15:30:00Z,2022-11-11T21:30:00Z,6.25,0.6,0.0752,0.47000000000000003
7,185,2022-11-15T23:00:00Z,2022-11-16T09:15:00Z,10.5,0.36,0.1152,1.21
7,186,2022-11-27T17:30:00Z,2022-11-27T22:30:00Z,5.25,0.24,0.0648,0.34
7,187,2022-11-30T14:15:00Z,2022-11-30T22:00:00Z,8,0.2,0.0762,0.61
7,188,2022-12-03T11:15:00Z,2022-12-03T23:15:00Z,12.25,0.16,0.04,0.49
7,189,2022-12-06T13:30:00Z,2022-12-07T14:00:00Z,24.75,0.2,0.0255,0.63
7,190,2022-12-15T13:15:00Z,2022-12-16T18:00:00Z,29,0.4,0.0617,1.79
7,191,2022-12-22T16:00:00Z,2022-12-23T17:15:00Z,25.5,0.32,0.0396,1.01
7,192,2022-12-31T15:30:00Z,2023-01-01T04:15:00Z,13,0.12,0.0254,0.33
7,193,2023-01-03T15:45:00Z,2023-01-03T17:30:00Z,2,0.12,0.06,0.12
7,194,2023-01-06T03:30:00Z,2023-01-06T06:00:00Z,2.75,0.08,0.0473,0.13
7,195,2023-01-19T10:30:00Z,2023-01-20T03:00:00Z,16.75,0.36,0.0579,0.97
7,196,2023-01-22T20:45:00Z,2023-01-23T18:30:00Z,22,0.2,0.0373,0.8200000000000001
7,197,2023-01-25T19:00:00Z,2023-01-26T07:00:00Z,12.25,0.48,0.0988,1.21
7,198,2023-02-12T22:45:00Z,2023-02-13T04:00:00Z,5.5,0.2,0.0273,0.15
7,199,2023-02-16T19:15:00Z,2023-02-16T22:30:00Z,3.5,0.16,0.0543,0.19
7,200,2023-02-17T10:30:00Z,2023-02-17T22:45:00Z,12.5,0.76,0.072,0.9
7,201,2023-02-21T09:00:00Z,2023-02-21T10:15:00Z,1.5,0.12,0.0667,0.1
7,202,2023-02-28T00:30:00Z,2023-02-28T08:15:00Z,8,0.16,0.0475,0.38
7,203,2023-03-03T21:15:00Z,2023-03-04T07:30:00Z,10.5,0.32,0.08,0.84
7,204,2023-03-10T21:15:00Z,2023-03-11T02:15:00Z,5.25,0.16,0.0629,0.33
7,205,2023-03-13T07:30:00Z,2023-03-13T22:15:00Z,15,0.04,0.0073,0.11
7,206,2023-03-23T10:15:00Z,2023-03-23T16:00:00Z,6,0.2,0.02,0.12000000000000001
7,207,2023-03-24T00:15:00Z,2023-03-24T02:00:00Z,2,0.68,0.17,0.34
7,208,2023-03-24T11:15:00Z,2023-03-24T16:30:00Z,5.5,0.12,0.0345,0.19
7,209,2023-03-25T15:00:00Z,2023-03-25T19:00:00Z,4.25,0.24,0.0447,0.19
7,210,2023-03-27T19:15:00Z,2023-03-27T22:15:00Z,3.25,0.2,0.0492,0.16
7,211,2023-04-01T11:45:00Z,2023-04-01T16:30:00Z,5,0.2,0.05,0.25
7,212,2023-04-01T23:00:00Z,2023-04-02T00:00:00Z,1.25,1.16,0.352,0.44
7,213,2023-04-07T00:30:00Z,2023-04-07T03:30:00Z,3.25,0.44,0.12,0.39
7,214,2023-04-17T06:15:00Z,2023-04-17T10:00:00Z,4,0.28,0.04,0.16
7,215,2023-04-22T22:30:00Z,2023-04-23T08:45:00Z,10.5,0.48,0.0638,0.67
7,216,2023-04-26T22:15:00Z,2023-04-27T12:00:00Z,14,0.24,0.0221,0.31
7,217,2023-04-28T17:30:00Z,2023-04-29T18:15:00Z,25,0.28,0.0708,1.77
7,218,2023-04-30T13:15:00Z,2023-05-01T04:15:00Z,15.25,0.604,0.096,1.464
7,219,2023-05-20T10:30:00Z,2023-05-20T20:15:00Z,10,0.16,0.0279,0.279
7,220,2023-06-12T19:45:00Z,2023-06-13T00:00:00Z,4.5,0.9,0.2242,1.009
7,221,2023-06-14T17:00:00Z,2023-06-14T20:00:00Z,3.25,0.208,0.0382,0.124
7,222,2023-06-16T14:45:00Z,2023-06-16T17:30:00Z,3,1.992,0.399,1.197
7,223,2023-06-23T13:30:00Z,2023-06-24T09:30:00Z,20.25,0.916,0.0523,1.059
7,224,2023-06-24T16:15:00Z,2023-06-24T19:15:00Z,3.25,0.444,0.0585,0.19
7,225,2023-06-25T19:30:00Z,2023-06-26T06:15:00Z,11,2.16,0.1416,1.558
7,226,2023-06-27T00:45:00Z,2023-06-28T01:15:00Z,24.75,1.664,0.0862,2.133
7,227,2023-07-08T17:15:00Z,2023-07-08T20:45:00Z,3.75,0.36,0.08,0.3
7,228,2023-07-09T17:00:00Z,2023-07-10T00:15:00Z,7.5,1.08,0.1267,0.9500000000000001
7,229,2023-07-16T08:00:00Z,2023-07-16T19:30:00Z,11.75,0.48,0.0672,0.79
7,230,2023-07-19T09:45:00Z,2023-07-19T14:45:00Z,5.25,0.48,0.0476,0.25
7,231,2023-07-21T08:30:00Z,2023-07-21T11:30:00Z,3.25,0.68,0.1631,0.53
7,232,2023-07-25T18:00:00Z,2023-07-25T21:30:00Z,3.75,1.4,0.1573,0.59
7,233,2023-07-29T01:45:00Z,2023-07-29T05:15:00Z,3.75,0.52,0.0853,0.32
7,234,2023-08-07T04:30:00Z,2023-08-07T08:30:00Z,4.25,0.48,0.0988,0.42
7,235,2023-08-07T23:00:00Z,2023-08-08T01:30:00Z,2.75,1.08,0.2218,0.61
7,236,2023-08-10T17:00:00Z,2023-08-10T22:30:00Z,5.75,1.72,0.2157,1.24
7,237,2023-08-15T23:15:00Z,2023-08-16T00:15:00Z,1.25,0.56,0.192,0.24000000000000002
