"","smp_id","ow_suffix","event_uid","gage_uid","eventduration_hr","eventpeakintensity_inhr","eventavgintensity_inhr","eventdepth_in","eventdatastart_est","eventdataend_est","peak_level_ft","overtop","draindown_hr","rpsu"
"74","411-1-1","CS1",150,7,4.75,0.12,0.0442,0.21,"2022-05-14 16:15:00","2022-05-14 20:45:00",1.2405,"FALSE",-810,0
"75","411-1-1","CS1",151,7,0.5,0.36,0.2,0.1,"2022-05-16 22:00:00","2022-05-16 22:15:00",1.0288,"FALSE",-810,0
"76","411-1-1","CS1",152,7,6.5,0.4,0.1138,0.74,"2022-05-19 03:30:00","2022-05-19 09:45:00",2.3502,"FALSE",3.75,32.2382
"77","411-1-1","CS1",153,7,2.5,0.24,0.056,0.14,"2022-05-20 17:00:00","2022-05-20 19:15:00",1.1359,"FALSE",-810,0
"78","411-1-1","CS1",154,7,2,0.4,0.1,0.2,"2022-05-27 18:30:00","2022-05-27 20:15:00",1.0384,"FALSE",-810,0
"79","411-1-1","CS1",155,7,1,2.32,0.78,0.78,"2022-05-28 02:45:00","2022-05-28 03:30:00",0.323,"FALSE",-810,0
"80","411-1-1","CS1",156,7,4.5,0.76,0.0844,0.38,"2022-06-02 20:45:00","2022-06-03 01:00:00",0.3111,"FALSE",-810,0
"81","411-1-1","CS1",157,7,3.75,0.36,0.0347,0.13,"2022-06-08 01:30:00","2022-06-08 05:00:00",3.9434,"TRUE",-820,100
"82","411-1-1","CS1",158,7,6.25,1.12,0.2112,1.32,"2022-06-09 02:15:00","2022-06-09 08:15:00",3.9434,"TRUE",3.25,100
"83","411-1-1","CS1",159,7,5,1.16,0.336,1.68,"2022-06-12 08:30:00","2022-06-12 13:15:00",4.2258,"TRUE",-810,0
"84","411-1-1","CS1",160,7,1,0.24,0.1,0.1,"2022-06-14 11:15:00","2022-06-14 12:00:00",0.0923,"FALSE",-810,0
"85","411-1-1","CS1",161,7,8.75,0.44,0.0377,0.33,"2022-06-16 09:00:00","2022-06-16 17:30:00",0.8755,"FALSE",-810,0
